Major_Category_en,Sub_Category_en,Major_Category_ja,Sub_Category_ja,Major_Category_ko,Sub_Category_ko,Korean,Japanese,English
Characters,Fossilized Wonders,人妖部門,東方錦上京,인요부문,동방금상경,유이만 아사마,ユイマン・ 浅間,Yuiman Asama
Characters,Fossilized Wonders,人妖部門,東方錦上京,인요부문,동방금상경,이와나가 아리야,磐永 阿梨夜,Ariya Iwanaga
Characters,Fossilized Wonders,人妖部門,東方錦上京,인요부문,동방금상경,와타리 니나,渡里 ニナ,Nina Watari
Characters,Highly Responsive to Prayers,人妖部門,東方靈異伝,인요부문,동방영이전,신교쿠,シンギョク,SinGyoku Gatekeeper
Characters,Highly Responsive to Prayers,人妖部門,東方靈異伝,인요부문,동방영이전,유겐마간,ユウゲンマガン,YuugenMagan Evil Eyes
Characters,Highly Responsive to Prayers,人妖部門,東方靈異伝,인요부문,동방영이전,엘리스,エリス,Elis Innocent Devil
Characters,Highly Responsive to Prayers,人妖部門,東方靈異伝,인요부문,동방영이전,사리엘,サリエル,Sariel Angel of Death
Characters,Highly Responsive to Prayers,人妖部門,東方靈異伝,인요부문,동방영이전,키쿠리,キクリ,Kikuri Hellish Moon
Characters,Highly Responsive to Prayers,人妖部門,東方靈異伝,인요부문,동방영이전,콘가라,コンガラ,Konngara Astral Knight
Characters,Story of Eastern Wonderland,人妖部門,東方封魔録,인요부문,동방봉마록,겐 영감님,玄爺,Genjii
Characters,Story of Eastern Wonderland,人妖部門,東方封魔録,인요부문,동방봉마록,리카,里香,Rika
Characters,Story of Eastern Wonderland,人妖部門,東方封魔録,인요부문,동방봉마록,메이라,明羅,Meira
Characters,Story of Eastern Wonderland,人妖部門,東方封魔録,인요부문,동방봉마록,미마,魅魔,Mima Revengeful Ghost
Characters,Phantasmagoria of Dim.Dream,人妖部門,東方夢時空,인요부문,동방몽시공,엘렌,エレン,Ellen
Characters,Phantasmagoria of Dim.Dream,人妖部門,東方夢時空,인요부문,동방몽시공,코토히메,小兎姫,Kotohime
Characters,Phantasmagoria of Dim.Dream,人妖部門,東方夢時空,인요부문,동방몽시공,카나 아나베랄,カナ・アナベラル,Kana Anaberal
Characters,Phantasmagoria of Dim.Dream,人妖部門,東方夢時空,인요부문,동방몽시공,아사쿠라 리카코,朝倉 理香子,Rikako Asakura
Characters,Phantasmagoria of Dim.Dream,人妖部門,東方夢時空,인요부문,동방몽시공,키타시라카와 치유리,北白河 ちゆり,Chiyuri Kitashirakawa
Characters,Phantasmagoria of Dim.Dream,人妖部門,東方夢時空,인요부문,동방몽시공,오카자키 유메미,岡崎 夢美,Yumemi Okazaki
Characters,Lotus Land Story,人妖部門,東方幻想郷,인요부문,동방환상향,오렌지,オレンジ,Orange
Characters,Lotus Land Story,人妖部門,東方幻想郷,인요부문,동방환상향,쿠루미,くるみ,Kurumi
Characters,Lotus Land Story,人妖部門,東方幻想郷,인요부문,동방환상향,엘리,エリー,Elly
Characters,Lotus Land Story,人妖部門,東方幻想郷,인요부문,동방환상향,무게츠,夢月,Mugetsu
Characters,Lotus Land Story,人妖部門,東方幻想郷,인요부문,동방환상향,겐게츠,幻月,Gengetsu
Characters,Mystic Square,人妖部門,東方怪綺談,인요부문,동방괴기담,사라,サラ,Sara
