대분류	소분류	한국어	일본어	영어
音楽部門	東方妖々夢	요요몽 ~ Snow or Cherry Petal	妖々夢　～ Snow or Cherry Petal	Ghostly Dream ~ Snow or Cherry Petal
音楽部門	東方妖々夢	무하유지향 ~ Deep Mountain	無何有の郷　～ Deep Mountain	Paradise ~ Deep Mountain
音楽部門	東方妖々夢	크리스탈라이즈 실버	クリスタライズシルバー	Crystallized Silver
音楽部門	東方妖々夢	토오노 환상 이야기	遠野幻想物語	The Fantastic Tales from Tono
音楽部門	東方妖々夢	댜오예쭝(withered leaf)	ティアオイエツォン(withered leaf)	Diao Ye Zong (withered leaf)
音楽部門	東方妖々夢	부쿠레슈티의 인형사	ブクレシュティの人形師	The Doll Maker of Bucuresti
音楽部門	東方妖々夢	인형재판 ~ 사람의 형상을 가지고 노는 소녀	人形裁判　～ 人の形弄びし少女	Doll Judgement ~ The Girl Who Played with People's Shapes
音楽部門	東方妖々夢	천공의 꽃의 도시	天空の花の都	The Capital City of Flowers in the Sky
音楽部門	東方妖々夢	유령악단 ~ Phantom Ensemble	幽霊楽団　～ Phantom Ensemble	Phantom Band ~ Phantom Ensemble
音楽部門	東方妖々夢	동방요요몽 ~ Ancient Temple	東方妖々夢　～ Ancient Temple	Eastern Ghostly Dream ~ Ancient Temple
音楽部門	東方妖々夢	히로아리, 괴조를 쏘다 ~ Till When?	広有射怪鳥事　～ Till When?	Hiroari Shoots a Strange Bird ~ Till When?
音楽部門	東方妖々夢	얼티밋 트루스	アルティメットトゥルース	Ultimate Truth
音楽部門	東方妖々夢	유아하게 피어라, 묵염의 벚꽃 ~ Border of Life	幽雅に咲かせ、墨染の桜　～ Border of Life	Bloom Nobly, Ink-Black Cherry Blossom ~ Border of Life
音楽部門	東方妖々夢	보더 오브 라이프	ボーダーオブライフ	Border of Life
音楽部門	東方妖々夢	요요발호	妖々跋扈	Spiritual Domination
音楽部門	東方妖々夢	소녀환장 ~ Necro-Fantasy	少女幻葬　～ Necro-Fantasy	A Maiden's Illusionary Funeral ~ Necro-Fantasy
音楽部門	東方妖々夢	요요발호 ~ Who done it!	妖々跋扈　～ Who done it!	Spiritual Domination ~ Who done it!
音楽部門	東方妖々夢	네크로 판타지아	ネクロファンタジア	Necrofantasia
音楽部門	東方妖々夢	봄바람의 꿈	春風の夢	Dream of a Spring Breeze
音楽部門	東方妖々夢	사쿠라사쿠라 ~ Japanize Dream...	さくらさくら　～ Japanize Dream...	Sakura, Sakura ~ Japanize Dream...
音楽部門	東方永夜抄	영야초 ~ Eastern Night	永夜抄　～ Eastern Night.	Eternal Night Vignette ~ Eastern Night
音楽部門	東方永夜抄	환시의 밤 ~ Ghostly Eyes	幻視の夜　～ Ghostly Eyes	Illusionary Night ~ Ghostly Eyes
音楽部門	東方永夜抄	준준추월 ~ Mooned Insect	蠢々秋月　～ Mooned Insect	Wriggling Autumn Moon ~ Mooned Insect
音楽部門	東方永夜抄	밤참새의 노랫소리 ~ Night Bird	夜雀の歌声　～ Night Bird	Song of the Night Sparrow ~ Night Bird
音楽部門	東方永夜抄	이젠 노래밖에 들리지 않아	もう歌しか聞こえない	Deaf to All but the Song
音楽部門	東方永夜抄	그리운 동방의 피 ~ Old World	懐かしき東方の血　～ Old World	Nostalgic Blood of the East ~ Old World
音楽部門	東方永夜抄	플레인 아시아	プレインエイジア	Plain Asia
音楽部門	東方永夜抄	영야의 대가 ~ Imperishable Night	永夜の報い　～ Imperishable Night	Retribution for the Eternal Night ~ Imperishable Night
音楽部門	東方永夜抄	소녀기상곡 ~ Dream Battle	少女綺想曲　～ Dream Battle	Maiden's Capriccio ~ Dream Battle
音楽部門	東方永夜抄	사랑색 마스터 스파크	恋色マスタースパーク	Love-Colored Master Spark
音楽部門	東方永夜抄	신데렐라 케이지 ~ Kagome-Kagome	シンデレラケージ　～ Kagome-Kagome	Cinderella Cage ~ Kagome-Kagome
音楽部門	東方永夜抄	광기의 눈동자 ~ Invisible Full Moon	狂気の瞳　～ Invisible Full Moon	Lunatic Eyes ~ Invisible Full Moon
音楽部門	東方永夜抄	보이지 1969	ヴォヤージュ1969	Voyage 1969
音楽部門	東方永夜抄	천년환상향 ~ History of the Moon	千年幻想郷　～ History of the Moon	Gensokyo Millennium ~ History of the Moon
